"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-06 16:55:00,16,2021-01-06 22:55:00,"wind_pen_actual",NA
2021-01-06 16:50:00,16,2021-01-06 22:50:00,"wind_pen_actual",NA
2021-01-06 16:45:00,16,2021-01-06 22:45:00,"wind_pen_actual",NA
2021-01-06 16:40:00,16,2021-01-06 22:40:00,"wind_pen_actual",NA
2021-01-06 16:35:00,16,2021-01-06 22:35:00,"wind_pen_actual",NA
2021-01-06 16:30:00,16,2021-01-06 22:30:00,"wind_pen_actual",NA
2021-01-06 16:25:00,16,2021-01-06 22:25:00,"wind_pen_actual",NA
2021-01-06 16:20:00,16,2021-01-06 22:20:00,"wind_pen_actual",NA
2021-01-06 16:15:00,16,2021-01-06 22:15:00,"wind_pen_actual",NA
2021-01-06 16:10:00,16,2021-01-06 22:10:00,"wind_pen_actual",NA
2021-01-06 16:05:00,16,2021-01-06 22:05:00,"wind_pen_actual",NA
2021-01-06 16:00:00,16,2021-01-06 22:00:00,"wind_pen_actual",NA
2021-01-06 15:55:00,15,2021-01-06 21:55:00,"wind_pen_actual",NA
2021-01-06 15:50:00,15,2021-01-06 21:50:00,"wind_pen_actual",NA
2021-01-06 15:45:00,15,2021-01-06 21:45:00,"wind_pen_actual",NA
2021-01-06 15:40:00,15,2021-01-06 21:40:00,"wind_pen_actual",NA
2021-01-06 15:35:00,15,2021-01-06 21:35:00,"wind_pen_actual",NA
2021-01-06 15:30:00,15,2021-01-06 21:30:00,"wind_pen_actual",NA
2021-01-06 15:25:00,15,2021-01-06 21:25:00,"wind_pen_actual",NA
2021-01-06 15:20:00,15,2021-01-06 21:20:00,"wind_pen_actual",NA
2021-01-06 15:15:00,15,2021-01-06 21:15:00,"wind_pen_actual",NA
2021-01-06 15:10:00,15,2021-01-06 21:10:00,"wind_pen_actual",NA
2021-01-06 15:05:00,15,2021-01-06 21:05:00,"wind_pen_actual",NA
2021-01-06 15:00:00,15,2021-01-06 21:00:00,"wind_pen_actual",NA
2021-01-06 14:55:00,14,2021-01-06 20:55:00,"wind_pen_actual",NA
2021-01-06 14:50:00,14,2021-01-06 20:50:00,"wind_pen_actual",NA
2021-01-06 14:45:00,14,2021-01-06 20:45:00,"wind_pen_actual",NA
2021-01-06 14:40:00,14,2021-01-06 20:40:00,"wind_pen_actual",NA
2021-01-06 14:35:00,14,2021-01-06 20:35:00,"wind_pen_actual",NA
2021-01-06 14:30:00,14,2021-01-06 20:30:00,"wind_pen_actual",NA
2021-01-06 14:25:00,14,2021-01-06 20:25:00,"wind_pen_actual",NA
2021-01-06 14:20:00,14,2021-01-06 20:20:00,"wind_pen_actual",NA
2021-01-06 14:15:00,14,2021-01-06 20:15:00,"wind_pen_actual",NA
2021-01-06 14:10:00,14,2021-01-06 20:10:00,"wind_pen_actual",NA
2021-01-06 14:05:00,14,2021-01-06 20:05:00,"wind_pen_actual",NA
2021-01-06 14:00:00,14,2021-01-06 20:00:00,"wind_pen_actual",NA
2021-01-06 13:55:00,13,2021-01-06 19:55:00,"wind_pen_actual",NA
2021-01-06 13:50:00,13,2021-01-06 19:50:00,"wind_pen_actual",NA
2021-01-06 13:45:00,13,2021-01-06 19:45:00,"wind_pen_actual",NA
2021-01-06 13:40:00,13,2021-01-06 19:40:00,"wind_pen_actual",NA
2021-01-06 13:35:00,13,2021-01-06 19:35:00,"wind_pen_actual",NA
2021-01-06 13:30:00,13,2021-01-06 19:30:00,"wind_pen_actual",NA
2021-01-06 13:25:00,13,2021-01-06 19:25:00,"wind_pen_actual",NA
2021-01-06 13:20:00,13,2021-01-06 19:20:00,"wind_pen_actual",NA
2021-01-06 13:15:00,13,2021-01-06 19:15:00,"wind_pen_actual",NA
2021-01-06 13:10:00,13,2021-01-06 19:10:00,"wind_pen_actual",NA
2021-01-06 13:05:00,13,2021-01-06 19:05:00,"wind_pen_actual",NA
2021-01-06 13:00:00,13,2021-01-06 19:00:00,"wind_pen_actual",NA
2021-01-06 12:55:00,12,2021-01-06 18:55:00,"wind_pen_actual",NA
2021-01-06 12:50:00,12,2021-01-06 18:50:00,"wind_pen_actual",NA
2021-01-06 12:45:00,12,2021-01-06 18:45:00,"wind_pen_actual",NA
2021-01-06 12:40:00,12,2021-01-06 18:40:00,"wind_pen_actual",NA
